respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.051670320427066235,0.2944714401759939
26708,0.046364527476562625,0.0465672880040623
26709,0.36852563671884003,0.5162080478533776
26710,0.516669442155012,0.8836957393852627
26711,0.15409271400499516,0.4700703072264489
26712,0.4665574902333974,0.9251574698708951
26713,0.34151419630419044,0.6018990359539649
26714,0.14516644604873896,0.22678861191231536
26715,0.040068695493692054,0.15259090404747822
26716,0.23028961968962114,0.8936152316025197
26717,0.01199990943835918,0.3068356883359666
26718,0.1894652493589029,0.5363733734955383
26719,0.0692822913388049,0.9167045204199996
26720,0.06056639800108595,0.2079657190370965
26721,0.27537996601751713,0.34000829133093746
26722,0.0748955104585292,0.09802010378617762
26723,0.6947067458553269,0.8735327713863222
26724,0.12951868182567366,0.6448072330536991
26725,0.027317423586459895,0.07560436025620403
26726,0.01079704962192856,0.03160476532020572
26727,0.34451006640988163,0.8415339462176329
26728,0.17253588458649713,0.6014064231371054
26729,0.4283760818227453,0.9054212761046222
26730,0.034263736028113306,0.1907362038301482
26731,0.020176469879775477,0.33433818777431823
26732,0.08821827839560777,0.07648797606460175
26733,0.9175718734024824,0.9556197133891206
26734,0.9017167029074339,0.34799245297330134
26735,0.15540132504488746,0.4682072932126705
26736,0.053003929497924755,0.15944168499879358
26737,0.08191998456159671,0.10483687266405618
26738,0.5726565554908918,0.8000294381815409
26739,0.13861349070950318,0.2879455073047027
26740,0.14214035753667476,0.12474715046090142
26741,0.2126601684620583,0.9053323874649749
26742,0.10106121346798239,0.4282616329863845
26743,0.04072356135217506,0.5487483095103289
26744,0.0463651619353742,0.6337199860490019
26745,0.11440591711844349,0.9340720212258007
26746,0.11559943634926605,0.30963798826886235
26747,0.06947319775138162,0.160606064713329
26748,0.08945440733926084,0.03859621819234607
26749,0.1234492730842928,0.6970515359644559
26750,0.6605233763087036,0.9322151948831107
26751,0.28478806200716766,0.7150130908972425
26752,0.022857283832633152,0.01843328022652742
26753,0.22357234178817473,0.6841781762019604
26754,0.12918576730647402,0.6029272681797615
26755,0.09625036307449797,0.3779007669426466
26756,0.01936212909588882,0.03206630925115651
26757,0.41720531473161393,0.5342390022804473
26758,0.6928907853151295,0.8832776151027286
26759,0.04322245077065297,0.24135751176995007
26760,0.014517134728417307,0.026922300426069027
26761,0.1563645726982374,0.6213647039275302
26762,0.1404540420778546,0.8189733020957966
26763,0.8915361239459866,0.9680048471377347
26764,0.9048070808796981,0.9609144673045922
26765,0.031787814053345846,0.6907815980483396
26766,0.10250190784642497,0.17374818912655715
26767,0.7706791487006603,0.7662995682839414
26768,0.010987728606296614,0.4203096809135682
26769,0.1253431570220814,0.1608637451770673
26770,0.09558233601107942,0.5237952334077324
26771,0.060411197523166656,0.20131389609903075
26772,0.050311686693043166,0.43128262541676754
26773,0.012151928539830112,0.446899921726565
26774,0.029498963418127338,0.5463385066744446
26775,0.07202781927823541,0.5020891241855616
26776,0.35685407986287515,0.3052221108372454
26777,0.10763269206823838,0.9366824659088516
